Uses,count
 Prostate cancer Endometriosis Precocious puberty (premature puberty),1
 Dry mouth after radiotherapy of head and neck cancer,1
 Warts,1
 Post menopausal osteoporosis Paget's disease Hypercalcemia,1
 Acidity Stomach ulcers,1
Treatment of Calcium deficiency,1
 Chronic immune thrombocytopenia,1
 Sneezing and runny nose due to allergiesTreatment of Asthma,1
 Heart attackPrevention of Stroke,1
 Bacterial & parasitic infections,1
Treatment and prevention of Post menopausal osteoporosis,1
Treatment and prevention of Lung infections in patients with cystic fibrosis,1
Treatment of Schizophrenia Mania,1
 Fungal infections of eyeTreatment of Fungal infections,1
 Moderate to severe pain,1
 Meniere's disease,1
Treatment of Oral lichen planus,1
Symptomatic Pain relief,1
 Prevention of Hepatitis A infection Prevention of Hepatitis B infection,1
Treatment of Warts,1
 Peripheral vascular disease Intermittent claudication,1
 Heartburn,1
 Snake Bite,1
 Vitamin & mineral deficiency,1
 Soft tissue sarcoma,1
Treatment of Severe sepsisTreatment of Pancreatitis,1
Prevention of Influenza (flu),1
 Erectile dysfunction Peripheral vascular disease,1
 Myasthenia gravis Paralytic ileus Post-operative urinary retention Reversal of effect of skeletal muscle relaxant  after surgery,1
 Menstrual pain,1
Treatment of Male infertilityTreatment of Female infertility,1
Treatment of Eye pain,1
Treatment of Vaginitis,1
Prevention of Tuberculosis (TB),1
Treatment of Schizophrenia Short term anxiety,1
 Severe allergic reactions Cardiac arrest,1
Treatment of Parasitic Worm infections,1
Treatment of HypersensitivityTreatment of Inflammation of gumsTreatment of Dental cavities,1
Treatment of Fungal infections of eye Severe fungal infections,1
Treatment of Age-related hearing loss (presbycusis),1
 Rheumatoid arthritis Ankylosing spondylitis Psoriasis Ulcerative colitis Crohn’s disease,1
 Eye Irritation,1
Treatment of Peptic ulcer diseaseTreatment of Mouth ulcers,1
Treatment of Hay feverTreatment of Allergic skin conditionsTreatment of Sneezing and runny nose due to allergies,1
 Kidney cancer Soft tissue sarcoma,1
Treatment of Skin disorders,1
 Tetanus Diphtheria,1
 Softening of earwax,1
 Breast cancer Cancer of colon and rectum,1
 Vitamin C deficiency,1
Treatment of Bacterial eye / ear infectionsTreatment of Bacterial infections,1
 Melasma Hyperpigmentation,1
 Prevention of Rubella,1
 Dermatitis Fungal skin infections,1
 Eye injury,1
